"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
5.752,-0.00292331141276263
5.7535,-0.00292482433558766
5.755,-0.00292633763672927
5.7565,-0.00292785131616163
5.758,-0.00292936537386082
5.7595,-0.00293087980980387
5.761,-0.00293239462396495
5.7625,-0.00293390981631723
5.764,-0.00293542538683778
5.7655,-0.00293694133550169
5.767,-0.00293845766228314
5.7685,-0.00293997436715722
5.77,-0.0029414914500981
5.7715,-0.00294300891108186
5.773,-0.00294452675008168
5.7745,-0.00294604496707268
5.776,-0.00294756356202805
5.7775,-0.00294908253492484
5.779,-0.0029506018857372
5.7805,-0.00295212161443927
5.782,-0.00295364172100329
5.7835,-0.0029551622054063
5.785,-0.00295668306762246
5.7865,-0.00295820430762205
5.788,-0.00295972592538599
5.7895,-0.00296124792088263
5.791,-0.00296277029408613
5.7925,-0.0029642930449774
5.794,-0.00296581617352095
5.7955,-0.0029673396796967
5.797,-0.00296886356347786
5.7985,-0.00297038782483664
5.8,-0.0029719124637472
5.8015,-0.00297343748018079
5.803,-0.00297496287411737
5.8045,-0.00297648864552336
5.806,-0.0029780147943787
5.8075,-0.0029795413206508
5.809,-0.00298106822431766
5.8105,-0.00298259550535055
5.812,-0.0029841231637217
5.8135,-0.00298565119940814
5.815,-0.00298717961238017
5.8165,-0.00298870840261098
5.818,-0.00299023757007183
5.8195,-0.0029917671147417
5.821,-0.00299329703658606
5.8225,-0.00299482733558099
5.824,-0.00299635801170064
5.8255,-0.00299788906491724
5.827,-0.00299942049520302
5.8285,-0.00300095230252923
5.83,-0.00300248448687292
5.8315,-0.00300401704820148
5.833,-0.00300554998648812
5.8345,-0.00300708330170699
5.836,-0.0030086169938303
5.8375,-0.00301015106282932
5.839,-0.0030116855086782
5.8405,-0.00301322033134723
5.842,-0.00301475553080672
5.8435,-0.00301629110703178
5.845,-0.00301782705999367
5.8465,-0.00301936338966462
5.848,-0.00302090009601492
5.8495,-0.00302243717901872
5.851,-0.00302397463864632
5.8525,-0.00302551247486801
5.854,-0.00302705068765699
5.8555,-0.00302858927698644
5.857,-0.00303012824282474
5.8585,-0.00303166758514216
5.86,-0.00303320730391481
5.8615,-0.00303474739911201
5.863,-0.00303628787070405
5.8645,-0.00303782871866124
5.866,-0.00303936994295675
5.8675,-0.00304091154356186
5.869,-0.00304245352044299
5.8705,-0.00304399587357624
5.872,-0.00304553860293092
5.8735,-0.00304708170847735
5.875,-0.00304862519018581
