"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6.072,-0.00325495742232199
6.073,-0.00325602320890153
6.074,-0.0032570891287727
6.075,-0.00325815518199441
6.076,-0.00325922136862266
6.077,-0.00326028768870959
6.078,-0.00326135414231795
6.079,-0.00326242072950278
6.08,-0.00326348745032105
6.081,-0.00326455430482683
6.082,-0.00326562129307805
6.083,-0.00326668841513263
6.084,-0.00326775567104369
6.085,-0.00326882306087109
6.086,-0.00326989058466987
6.087,-0.00327095824249601
6.088,-0.00327202603440457
6.089,-0.00327309396045637
6.09,-0.00327416202070258
6.091,-0.003275230215205
6.092,-0.00327629854401383
6.093,-0.00327736700718991
6.094,-0.00327843560478634
6.095,-0.00327950433686201
6.096,-0.003280573203471
6.097,-0.00328164220467318
6.098,-0.00328271134051874
6.099,-0.0032837806110666
6.1,-0.00328485001637371
6.101,-0.00328591955649704
6.102,-0.0032869892314897
6.103,-0.00328805904140963
6.104,-0.00328912898631378
6.105,-0.0032901990662543
6.106,-0.00329126928129106
6.107,-0.00329233963147619
6.108,-0.00329341011687245
6.109,-0.0032944807375262
6.11,-0.00329555149350308
6.111,-0.00329662238484946
6.112,-0.00329769341162711
6.113,-0.00329876457389205
6.114,-0.00329983587169641
6.115,-0.00330090730510007
6.116,-0.00330197887415515
6.117,-0.00330305057891767
6.118,-0.00330412241944555
6.119,-0.0033051943957948
6.12,-0.00330626650801757
6.121,-0.00330733875617081
6.122,-0.00330841114031343
6.123,-0.0033094836604966
6.124,-0.00331055631677923
6.125,-0.00331162910921345
6.126,-0.00331270203785528
6.127,-0.00331377510276166
6.128,-0.00331484830398766
6.129,-0.00331592164159022
6.13,-0.00331699511562343
6.131,-0.00331806872614136
6.132,-0.00331914247319905
6.133,-0.00332021635685442
6.134,-0.0033212903771606
6.135,-0.00332236453417647
6.136,-0.00332343882795225
6.137,-0.00332451325854587
6.138,-0.00332558782601238
6.139,-0.00332666253040681
6.14,-0.0033277373717813
6.141,-0.00332881235019861
6.142,-0.0033298874657051
6.143,-0.00333096271835966
6.144,-0.00333203810822216
6.145,-0.00333311363533992
6.146,-0.00333418929977184
6.147,-0.00333526510157198
6.148,-0.00333634104079539
6.149,-0.0033374171175
6.15,-0.0033384933317341
6.151,-0.00333956968355755
6.152,-0.00334064617302443
6.153,-0.00334172280018783
6.154,-0.00334279956510667
6.155,-0.00334387646783116
6.156,-0.00334495350841826
6.157,-0.00334603068692205
6.158,-0.00334710800340046
6.159,-0.00334818545790371
6.16,-0.00334926305048587
6.161,-0.00335034078120874
6.162,-0.00335141865011868
6.163,-0.0033524966572736
6.164,-0.00335357480273243
6.165,-0.00335465308654246
6.166,-0.00335573150876261
6.167,-0.00335681006944695
6.168,-0.00335788876864956
6.169,-0.0033589676064245
6.17,-0.00336004658282681
6.171,-0.00336112569790962
6.172,-0.00336220495173085
6.173,-0.00336328434433975
6.174,-0.00336436387579522
6.175,-0.00336544354615134
6.176,-0.00336652335546025
6.177,-0.00336760330377603
6.178,-0.00336868339115372
6.179,-0.00336976361764932
6.18,-0.00337084398331497
6.181,-0.00337192448820573
6.182,-0.00337300513237565
6.183,-0.00337408591587979
6.184,-0.00337516683877221
6.185,-0.00337624790110507
6.186,-0.00337732910293341
6.187,-0.00337841044431322
6.188,-0.00337949192529569
6.189,-0.00338057354593683
6.19,-0.00338165530629167
6.191,-0.00338273720641237
6.192,-0.00338381924635106
6.193,-0.00338490142616665
6.194,-0.00338598374590839
6.195,-0.00338706620563324
6.196,-0.00338814880539722
6.197,-0.00338923154524668
6.198,-0.00339031442524246
6.199,-0.00339139744543572
6.2,-0.00339248060588056
6.201,-0.00339356390663007
6.202,-0.00339464734773834
6.203,-0.00339573092925944
6.204,-0.00339681465124841
6.205,-0.0033978985137574
6.206,-0.00339898251684145
6.207,-0.00340006666055078
6.208,-0.00340115094494428
6.209,-0.00340223537006928
6.21,-0.00340331993598565
6.211,-0.00340440464274553
6.212,-0.0034054894904001
6.213,-0.00340657447900247
6.214,-0.00340765960860866
6.215,-0.00340874487927176
6.216,-0.00340983029104298
6.217,-0.00341091584398023
6.218,-0.00341200153813277
6.219,-0.00341308737355661
6.22,-0.0034141733503039
6.221,-0.00341525946842871
6.222,-0.00341634572798126
6.223,-0.00341743212901948
6.224,-0.00341851867159553
6.225,-0.00341960535576058
6.226,-0.00342069218157065
6.227,-0.00342177914907497
6.228,-0.0034228662583344
6.229,-0.00342395350939238
6.23,-0.00342504090231071
6.231,-0.00342612843713576
6.232,-0.00342721611392449
6.233,-0.00342830393272906
6.234,-0.00342939189360449
6.235,-0.00343047999660295
6.236,-0.00343156824177272
6.237,-0.00343265662917559
6.238,-0.00343374515885504
6.239,-0.00343483383087092
6.24,-0.00343592264527538
6.241,-0.00343701160211961
6.242,-0.00343810070145575
6.243,-0.00343918994334078
6.244,-0.00344027932782491
6.245,-0.00344136885495933
6.246,-0.00344245852479908
6.247,-0.0034435483373963
6.248,-0.00344463829280412
6.249,-0.00344572839107564
6.25,-0.00344681863226397
6.251,-0.00344790901642031
6.252,-0.00344899954359872
6.253,-0.00345009021385328
6.254,-0.00345118102723229
6.255,-0.00345227198379272
6.256,-0.00345336308358382
6.257,-0.00345445432665966
6.258,-0.00345554571307626
6.259,-0.0034566372428819
6.26,-0.00345772891612874
6.261,-0.00345882073287374
6.262,-0.00345991269316616
6.263,-0.00346100479705526
6.264,-0.00346209704460282
6.265,-0.00346318943585329
6.266,-0.00346428197086266
6.267,-0.00346537464968213
6.268,-0.0034664674723619
6.269,-0.00346756043896089
6.27,-0.00346865354952546
6.271,-0.00346974680410967
6.272,-0.00347084020276665
6.273,-0.00347193374554855
6.274,-0.00347302743250558
6.275,-0.00347412126369375
6.276,-0.00347521523916425
6.277,-0.00347630935896729
6.278,-0.00347740362315696
6.279,-0.00347849803178443
6.28,-0.0034795925849009
6.281,-0.00348068728256044
6.282,-0.00348178212481616
6.283,-0.00348287711171733
6.284,-0.00348397224331608
6.285,-0.00348506751966747
6.286,-0.00348616294082268
6.287,-0.00348725850683096
6.288,-0.00348835421774639
6.289,-0.00348945007362208
6.29,-0.00349054607450826
